#Name	NumConnected
E2F4	8514
E2F3	8514
E2F2	8514
E2F1	8514
E2F8	8514
ACBD3	8514
ACBD7	0
ACBD6	0
ACBD5	0
ACBD4	0
PPP1R13L	8514
EEF2	0
MYF6	8514
TUSC3	8514
RLBP1	0
EPHX2	8514
IZUMO1	8514
IZUMO2	8514
IZUMO3	8514
IZUMO4	8514
PYCR3	8515
PYCR2	8516
PYCR1	8516
OR51J1	8514
GATA2	8514
WNT10B	8514
GNG10	8514
GNG11	8514
GNG12	8514
GNG13	8514
IL36A	8514
IL36B	8514
IL36G	8514
NT5C1B	8514
IFITM3	8514
IFITM2	8514
LIPC	8517
LIPE	8514
LIPG	8515
LIPF	8515
LIPI	0
LIPH	0
LIPK	8515
LIPJ	8515
LIPM	8515
DFFA	8514
DFFB	8514
LIPN	8515
SEC24D	8514
REV3L	8514
SEC24A	8514
SEC24C	8514
SEC24B	8514
RNF19B	8514
OR4A47	8514
HOGA1	8514
MRPL43	8514
MRPL42	8514
MRPL41	8514
MRPL40	8514
MRPL47	8514
MRPL46	8514
HGFAC	8515
MRPL44	8514
MRPL49	8514
MRPL48	8514
ZNF699	8514
NGF	8514
NGB	0
RILP	8514
ZNF691	8514
ZNF692	8514
ZNF697	8514
ZNF696	8514
HDC	8515
OR52H1	8514
ARFGAP1	8514
UNC93B1	8514
LAMB3	8514
LAMB2	8514
CYSLTR2	8514
CYSLTR1	8514
COPZ1	8514
NEK7	8514
COPZ2	8514
RUVBL1	8514
RUVBL2	8514
U2AF1	8514
U2AF2	8514
MPHOSPH6	8514
BMX	8514
GPR161	8514
PGM3	8514
G0S2	0
DHPS	3
ZZZ3	8514
COQ10B	0
SHB	8514
SHH	8514
CCDC8	8514
DYNC2H1	8514
MGA	8514
MTHFD2	8514
MTHFD1	8514
TBP	8514
NSD1	8515
NSD3	8515
NSD2	8514
ADSS	8514
OR1D5	8514
OR1D4	8514
OR1D2	8514
GMNN	8514
ADSL	8514
LUM	8514
TIMMDC1	8514
ACVR1C	8514
RNF128	8514
ZNF343	8514
ZNF436	8514
ZNF347	8514
ZNF430	8514
ZNF433	8514
ZNF432	8514
ZNF439	8514
RALGDS	8514
NUDT12	0
DLL1	8514
NUDT10	8518
NUDT11	8518
DLL4	8514
NUDT14	0
NUDT15	0
NUDT18	0
NUDT19	8514
OR6X1	8514
KEL	8516
IFI6	8514
RTCB	8520
STX3	8514
STX5	8514
STX4	8514
STX6	8514
RPS3A	8514
CPN2	8516
CPN1	8516
LAGE3	8518
STAB1	8514
STAB2	8514
LGI4	8514
NTF3	8514
LGI1	8514
ECE1	8515
LGI3	8514
NLGN2	8514
OR2K2	8514
ARHGAP45	8515
ARHGAP44	8515
ARHGAP40	8515
ARHGAP42	8515
CFHR5	8514
EVC2	8514
AURKA	8514
AURKB	8514
AP1B1	8514
PHYKPL	2
OR5H6	8514
OR5H1	8514
OR5H2	8514
CDC42EP3	0
CDC42EP2	0
CDC42EP5	0
HRASLS5	8514
BMF	8514
HRASLS2	8514
GPRC6A	8514
ABI2	8514
ABI1	8514
MUC7	8514
KRT39	54
KRT38	54
ACADVL	8514
RAB4B	8514
OR6C70	8514
NCR3LG1	8514
KRT31	54
KRT32	54
KRT35	54
AOC3	8515
KRT37	54
KRT36	54
IL21	8514
CHN2	8515
CHN1	8515
IL22	8514
IL25	8
IL24	8514
IL27	8514
IL26	8514
KIF2A	8514
CAV3	8514
KIF2C	8514
CAV1	8514
IL12RB1	8514
IL12RB2	8514
ATP6AP1	8514
ATP6AP2	8514
ENSA	8514
CLINT1	8514
H2BFS	8514
BRCA2	8514
OR4N2	8514
OR4N4	8514
AHRR	8514
